Entity ID,Symbol,Name,Inter- net Address,Stock Exchange,Sector,Economy Sector,Company is Active,Datenc (FIRST),Datenc (RT Last),Closing Price,Market Value,Sales
0015RZ-E,UB,UnionBanCal Corp,http://www.unionbank.com,NYSE,Finance,Finance,1,19841105,20081103,,,6180
000ZPG-E,AEE,Ameren Corporation,http://www.ameren.com,NYSE,Utilities,Utilities,1,19841105,20180706,62.03,14996.9,6177
00BFKV-E,BAH,Booz Allen Hamilton Holding Corporation Class A,http://www.boozallen.com,NYSE,Commercial Services,Business Services,1,20101117,20180706,45.68,6463.219,6171.853
0794G2-E,IHRTQ,"iHeartMedia, Inc. Class A",http://www.iheartmedia.com,US OTC,Consumer Services,Consumer Services,1,20080801,20180706,0.3001,26.51385,6170.994
05TYH9-E,B064B9,Eurocash S.A.,http://www.eurocash.com.pl,WARSAW,Distribution Services,Consumer Non-Cyclicals,1,20050204,20180706,5.606191,780.176,6165.357
05J0Z4-E,96970,Babcock International Group PLC,http://www.babcock.co.uk,LONDON,Commercial Services,Industrials,1,19890814,20180706,10.25057,5182.653,6163.963
05HZ1D-E,4768,Otsuka Corporation,http://www.otsuka-shokai.co.jp,TOKYO,Technology Services,Technology,1,20000714,20180706,37.84689,7190.99,6163.768
05HZPZ-E,1332,"Nippon Suisan Kaisha, Ltd.",http://www.nissui.co.jp,TOKYO,Consumer Non-Durables,Consumer Non-Cyclicals,1,19850102,20180706,4.862149,1519.083,6162.529
09KFLG-E,B4Q1Y5,Chongqing Rural Commercial Bank Co. Ltd. Class H,http://www.cqrcb.com,HONG KONG,Finance,Finance,1,20101216,20180706,0.5618657,5618.658,6160.196
000KW7-E,AJG,Arthur J. Gallagher & Co.,http://www.ajg.com,NYSE,Finance,Finance,1,19841105,20180706,66.81,12046.42,6149.3
00GGZW-E,BXLT,"Baxalta, Inc.",http://www.baxalta.com,NYSE,Health Technology,Healthcare,0,20150615,20160602,,,6148
08PBCF-E,B450X0,"Hangzhou Hikvision Digital Technology Co., Ltd Class A",http://www.hikvision.com,SHENZHEN,Electronic Technology,Technology,1,20100528,20180706,4.889056,45112.64,6145.771
0G7M3Y-E,BYXL8H,ICICI Prudential Life Insurance Co. Ltd.,http://www.iciciprulife.com,BSE INDIA,Finance,Finance,1,20160929,20180706,5.363532,7699.645,6140.93
006K0D-E,CE,Celanese Corporation Class A,http://www.celanese.com,NYSE,Process Industries,Non-Energy Materials,1,20050121,20180706,112.43,15232.18,6140
006K0D-E,8405B90B,Celanese Corporation,http://www.celanese.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,6140
05HDYG-E,766716,Atlantia S.p.A,http://www.atlantia.it,MILAN,Transportation,Industrials,1,19890404,20180706,29.52308,24379.69,6139.864
00DW9D-E,*BPY.U,Brookfield Property Partners LP,http://bpy.brookfield.com,TORONTO,Finance,Finance,1,20130322,20180706,19.58464,13793.69,6135
05J1F2-E,8282,K'S Holdings Corporation,http://www.ksdenki.com,TOKYO,Retail Trade,Consumer Cyclicals,1,19891012,20180706,10.58445,2461.295,6127.557
06QF77-E,B1PB0D,"Liuzhou Iron & Steel Co., Ltd. Class A",http://www.liusteel.com,SHANGHAI,Non-Energy Minerals,Non-Energy Materials,1,20070227,20180706,1.08161,2771.942,6123.846
000FHH-E,8308,"Resona Holdings, Inc.",http://www.resona-gr.co.jp,TOKYO,Finance,Finance,1,20011211,20180706,5.254199,12211.38,6122.883
0014W4-E,UGI,UGI Corporation,http://www.ugicorp.com,NYSE,Utilities,Energy,1,19841105,20180706,53.93,9221.996,6122.7
067XQL-E,7832,BANDAI NAMCO Holdings Inc.,http://www.bandainamco.co.jp,TOKYO,Consumer Durables,Technology,1,20050929,20180706,39.83884,8844.222,6120.159
05SGNS-E,B544PW,PGE Polska Grupa Energetyczna S.A.,http://www.gkpge.pl,WARSAW,Utilities,Utilities,1,20091106,20180706,2.561752,4789.862,6120.032
0061C9-E,674101,China Oriental Group Co. Ltd.,http://www.chinaorientalgroup.com,HONG KONG,Non-Energy Minerals,Non-Energy Materials,1,20040302,20180706,0.6790804,2527.924,6118.858
