Entity ID,Symbol,Name,GICS Sector Name,GICS Ind Name,Country of Primary Listing,Sec Type ,Det Sec Type Desc,Net Sales 1999,Net Sales 2000,Net Sales 2001,Net Sales 2002,Net Sales 2003,Net Sales 2004,Net Sales 2005,Net Sales 2006,Net Sales 2007,Net Sales 2008,Net Sales 2009,Net Sales 2010,Net Sales 2011,Net Sales 2012,Net Sales 2013,Net Sales 2014,Net Sales 2015,Net Sales 2016,Net Sales 2017,Net Sales 2018
05J2TN-E,653545,"Lotte Food Co., Ltd.",Consumer Staples,Food Products,SOUTH KOREA,SHARE,Equity,215.3043763,221.5755462,209.6738702,212.1619443,245.5460594,294.8036485,426.8456781,437.0501559,489.8373693,490.5109203,268.1828932,302.9106846,448.7146337,801.4788678,968.0194704,722.6246787,1108.349151,1519.065938,584.6752593,1645.416034
05J10Y-E,1950,"Nippon Densetsu Kogyo Co., Ltd.",Industrials,Construction & Engineering,JAPAN,SHARE,Equity,1285.625328,1328.461245,1264.520106,1199.234157,1289.813498,1324.42236,1227.02259,1223.489377,1350.1186,1558.936826,528.4808576,631.5810093,630.1041739,618.8768267,890.1850051,883.9148636,1439.868414,1589.887888,1334.535521,1645.381145
000C2F-E,AMWD,American Woodmark Corporation,Industrials,Building Products,UNITED STATES,SHARE,Equity,387.301,416.668,499.046,563.466,667.547,776.99,837.671,760.925,602.426,545.934,278.4523276,349.8177159,196.1302751,404.3915226,608.4852573,640.1247574,1301.834549,1030.248,2089.991438,1645.319
05J0G6-E,407439,GFI Informatique SA,#NAME?,#NAME?,FRANCE,SHARE,Equity,399.4015993,471.9445993,543.2731076,522.5705429,565.1679838,641.4925823,675.4170774,794.6711843,942.4247166,1123.852004,218.1142489,217.7849316,159.9928223,194.5436753,355.6414701,348.545603,596.3306531,1123.249272,599.5363513,1645.217658
05J25N-E,84750,Robert Walters Plc,Industrials,Professional Services,UNITED KINGDOM,SHARE,Equity,NA,327.9034199,365.0049317,390.6534897,256.2024191,344.7221482,426.2033339,505.2290694,639.9829021,618.3995271,263.2751271,389.7640356,192.9652324,240.4525558,396.8930272,371.5235252,410.2436779,1347.323265,603.0276931,1644.315673
05HXHV-E,612860,Nestle India Ltd.,Consumer Staples,Food Products,INDIA,SHARE,Equity; some share ownership restricted to domestic residents,340.1292623,352.0373449,385.8819903,398.6368901,462.7447869,492.1499139,562.1657529,621.8778518,847.6989408,993.0543485,5279.088977,8183.314287,7575.818798,8781.765723,8257.022487,9744.748977,8488.007537,1353.543444,11850.39765,1641.758101
05HXJS-E,641892,Delta Electronics (Thailand) Public Co. Ltd.,Information Technology,Electronic Equipment Instruments & Components,THAILAND,SHARE,Equity,614.8012463,672.6001302,686.620475,942.8677419,986.5188327,1197.04667,1086.60882,1148.927718,978.0414419,984.5817432,695.8992145,1448.278489,857.9455514,1304.877762,2030.885999,2672.96043,2651.79075,1328.974917,2803.642257,1641.545539
0017DK-E,SSI,"Stage Stores, Inc.",Consumer Discretionary,Specialty Retail,UNITED STATES,SHARE,Equity,1121.567,952.274,855.575,875.557,972.212,1243.851,1344.1,1550.18,1545.606,1515.82,470.48337,634.9734566,422.6727147,790.7050517,693.552824,654.7203181,278.4015846,1442.718,46.41335991,1641.482
05HWW6-E,7518,"Net One Systems Co., Ltd.",Information Technology,IT Services,JAPAN,SHARE,Equity,312.5348904,524.5494324,638.9935008,761.9485182,1076.433077,1253.512861,948.7015737,934.8331644,977.2312841,1303.644466,614.1773087,818.6124668,1505.638171,874.9205251,584.2728513,510.7135553,554.0546242,1452.023419,1322.254754,1640.610853
0018G3-E,SM,SM Energy Company,Energy,Oil Gas & Consumable Fuels,UNITED STATES,SHARE,Equity,74.076,190.106,207.102,195.839,386.656,431.296,739.368,780.791,957.242,1336.75,2141.266942,3715.831187,4678.472962,3449.880291,5567.372635,2600.484976,1336.38846,1180.376,2464.657924,1640.155
003S48-E,*SJ,Stella-Jones Inc.,Materials,Paper & Forest Products,CANADA,SHARE,Equity,46.44475997,58.60008647,56.71502653,61.55079711,65.72159475,99.10688073,129.6748726,197.3736261,251.2734911,360.6087253,311.4758917,533.0621474,634.5961249,1321.188256,1761.747799,1946.507256,2612.949959,1387.518012,2794.579239,1638.619122
000XJX-E,TCB,TCF Financial Corporation,#NAME?,#NAME?,UNITED STATES,SHARE,Equity,1053.018,1155.47,1198.095,1150.243,1139.016,1113.275,1210.264,1375.602,1478.307,1454.522,1757.088885,2112.557658,1651.695354,1986.69513,2679.072456,2657.268929,2394.384933,1383.012,3524.60614,1636.582
065WR8-E,4544,Miraca Holdings Inc.,Health Care,Health Care Providers & Services,JAPAN,SHARE,Equity,261.4484523,242.522968,214.250512,211.9846988,262.4832652,1319.054375,1222.349009,1173.613703,1253.827803,1445.036086,1597.664128,2356.773186,2330.745087,2354.912607,2777.451888,2564.22509,2544.947678,1886.136274,2455.460694,1635.921718
05R0DV-E,7229,"Yutaka Giken Co., Ltd.",Consumer Discretionary,Auto Components,JAPAN,SHARE,Equity,883.0235057,1162.143605,1117.335673,1133.646873,1337.565686,1550.147522,1596.553528,1703.667837,1986.294092,2038.689999,224.4610269,405.8346336,272.9391591,272.3527498,341.9294811,301.4802975,326.5956173,1451.469338,372.0457929,1634.560066
06CTQV-E,B128FX,National Shipping Co. of Saudi Arabia,Energy,Oil Gas & Consumable Fuels,SAUDI ARABIA,SHARE,Equity; some share ownership restricted to domestic residents,NA,430.3685412,322.0257051,322.5494981,385.6756237,436.7401103,427.2297407,440.3101901,454.5364292,691.6449729,1490.701834,1469.901967,1024.745322,1608.407004,2368.515908,2852.456365,4879.525653,1809.902945,3285.187597,1634.369849
05HYYX-E,7947,FP Corporation,Materials,Containers & Packaging,JAPAN,SHARE,Equity,901.1889979,945.5742997,881.1804835,926.9157874,1096.619765,1155.022972,1120.378366,1062.631561,1098.205075,1275.059914,998.9455955,1228.524368,1433.164543,1475.030715,1579.998886,1431.26335,1614.250507,1596.287518,2378.33527,1633.721432
05X08Q-E,601275,"Xin Jiang Ready Health Industry Co., Ltd. Class A",Health Care,Health Care Providers & Services,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,33.57050398,74.37913733,82.66796873,87.69522827,58.75146554,29.41615582,22.36833776,87.36944721,101.4201531,126.1208551,495.2619845,607.4529642,426.1379291,408.0548047,421.1602857,482.1344638,1113.336467,1349.142671,1744.309037,1632.459273
088G5Z-E,*AQN,Algonquin Power & Utilities Corp.,Utilities,Multi-Utilities,CANADA,SHARE,Equity,9.228367483,29.61881101,25.70834959,55.9849116,105.4121024,123.3517783,147.9923076,177.5897767,173.4460194,200.3438032,361.0014719,480.7357722,858.1899239,1202.354781,1425.410805,1982.024118,2009.431869,832.9336247,4779.676613,1632.434
003600-E,SYNA,Synaptics Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,UNITED STATES,SHARE,Equity,29.842,43.447,73.698,100.201,100.701,133.276,208.139,184.557,266.787,361.057,1042.25327,1002.239881,970.7394954,987.2418041,1811.899374,2540.19597,2910.878622,1666.9,1359.198023,1630.3
000X5M-E,SNV,Synovus Financial Corp.,Financials,Banks,UNITED STATES,SHARE,Equity,1618.272,1917.518,2058.585,2298.217,2205.656,2434.693,3102.424,3798.333,2627.432,2237.949,984.7913735,2072.695882,1107.244828,1927.111354,3500.118188,3687.572121,4194.731904,1295.314,5729.548907,1629.853
05HQTM-E,471762,RHON-KLINIKUM AG,Health Care,Health Care Providers & Services,GERMANY,SHARE,Equity,655.3282616,616.1061129,623.5243606,829.3468319,1080.760879,1297.990069,1758.608162,2426.302512,2771.579742,3291.53777,3395.381567,3054.281138,2641.443068,2791.08302,4048.583628,2062.423302,2013.480114,1431.087372,2402.606941,1628.771947
05HX69-E,613944,National Aluminium Co. Ltd.,Materials,Metals & Mining,INDIA,SHARE,Equity; some share ownership restricted to domestic residents,458.6378511,494.5149058,466.8649264,527.4969079,674.3929864,914.2946464,1097.21898,1313.072549,1239.072489,1107.71266,5788.194572,5646.264835,2458.095026,2309.589442,1577.050763,2186.401332,1560.22146,1111.305621,2602.878522,1628.303058
002G54-E,UTHR,United Therapeutics Corporation,Health Care,Biotechnology,UNITED STATES,SHARE,Equity,0.436495,2.049258,5.732,30.12,53.341,73.59,115.915,159.632,210.943,281.497,2834.67609,3598.292798,2756.328707,2713.789257,5679.669387,6151.940525,7145.957971,1598.8,6393.067101,1627.8
0DZZSX-E,LAMR,Lamar Advertising Company Class A,Real Estate,Equity Real Estate Investment Trusts (REITs),UNITED STATES,SHARE,Equity,444.135,687.319,729.05,775.682,810.139,883.51,1021.656,1120.091,1209.555,1198.419,2856.171927,3683.00338,2556.341262,3629.300415,4944.906786,5118.884704,5793.909879,1500.294,7307.597857,1627.222
